Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0174543737
2	2	0	0.0349087474
3	2	0	0.0523631211
4	3	0	0.0698174948
5	3	0	0.0872718685
6	3	0	0.104726242
7	3	0	0.122180616
8	4	0	0.13963499
9	4	0	0.157089363
10	4	0	0.174543737
11	5	0	0.191998111
12	5	0	0.209452484
13	5	0	0.226906858
14	5	0	0.244361232
15	6	0	0.261815605
16	6	0	0.279269979
17	6	0	0.296724353
18	6	0	0.314178727
19	7	0	0.3316331
20	7	0	0.349087474
21	7	0	0.366541848
22	7	0	0.383996221
23	8	0	0.401450595
24	8	0	0.418904969
25	8	0	0.436359342
26	8	0	0.453813716
27	9	0	0.47126809
28	9	0	0.488722464
29	9	0	0.506176837
30	9	0	0.523631211
31	10	0	0.541085585
32	10	0	0.558539958
33	10	0	0.575994332
34	10	0	0.593448706
35	11	0	0.610903079
36	11	0	0.628357453
37	11	0	0.645811827
38	11	0	0.663266201
39	12	0	0.680720574
40	12	0	0.698174948
41	12	0	0.715629322
42	13	0	0.733083695
43	13	0	0.750538069
44	13	0	0.767992443
45	13	0	0.785446816
46	14	0	0.80290119
47	14	0	0.820355564
48	14	0	0.837809938
49	14	0	0.855264311
50	15	0	0.872718685
51	15	0	0.890173059
52	15	0	0.907627432
53	16	0	0.925081806
54	16	0	0.94253618
55	16	0	0.959990553
56	16	0	0.977444927
57	17	0	0.994899301
58	17	0	1.01235367
59	17	0	1.02980805
60	17	0	1.04726242
61	18	0	1.0647168
62	18	0	1.08217117
63	18	0	1.09962554
64	19	0	1.11707992
65	19	0	1.13453429
66	19	0	1.15198866
67	20	0	1.16944304
68	20	0	1.18689741
69	20	0	1.20435179
70	21	0	1.22180616
71	21	0	1.23926053
72	21	0	1.25671491
73	21	0	1.27416928
74	22	0	1.29162365
75	22	0	1.30907803
76	22	0	1.3265324
77	23	0	1.34398677
78	23	0	1.36144115
79	23	0	1.37889552
80	24	0	1.3963499
81	24	0	1.41380427
82	24	0	1.43125864
83	25	0	1.44871302
84	25	0	1.46616739
85	25	0	1.48362176
86	26	0	1.50107614
87	26	0	1.51853051
88	26	0	1.53598489
89	27	0	1.55343926
90	27	0	1.57089363
91	27	0	1.58834801
92	28	0	1.60580238
93	28	0	1.62325675
