#!	Workbook:	Custom	Custom
#!	To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.		
#!	For more information visit http://aka.ms/hackingstem/		
173260	528	35.8	
173312	528	35.8	
173362	530	36.04	
173414	529	35.92	
173465	527	35.69	
173515	527	35.69	
173568	526	35.57	
173618	526	35.57	
173670	527	35.69	
173721	525	35.46	
173771	527	35.69	
173824	527	35.69	
173874	527	35.69	
173926	526	35.57	
173976	526	35.57	
174027	526	35.57	
174080	526	35.57	
174131	527	35.69	
174181	527	35.69	
174233	525	35.46	
174283	529	35.92	
174336	527	35.69	
174386	528	35.8	
174438	529	35.92	
174488	527	35.69	
174539	528	35.8	
174592	526	35.57	
174642	527	35.69	
174694	526	35.57	
174744	526	35.57	
174796	526	35.57	
174848	525	35.46	
174898	525	35.46	
174950	523	35.23	
175000	526	35.57	
175051	526	35.57	
175104	526	35.57	
175154	526	35.57	
175206	530	36.04	
175256	525	35.46	
175308	526	35.57	
175360	525	35.46	
175410	523	35.23	
175462	524	35.34	
175512	526	35.57	
175564	524	35.34	
175616	527	35.69	
175666	524	35.34	
175718	526	35.57	
175768	525	35.46	
175820	527	35.69	
175872	529	35.92	
175922	524	35.34	
175974	525	35.46	
176025	522	35.11	
176075	522	35.11	
176128	526	35.57	
176178	525	35.46	
176230	524	35.34	
176281	522	35.11	
176331	524	35.34	
176384	525	35.46	
176435	523	35.23	
176485	523	35.23	
176537	523	35.23	
176587	521	35	
176640	524	35.34	
176691	525	35.46	
176741	524	35.34	
176793	524	35.34	
176844	522	35.11	
176894	526	35.57	
176947	523	35.23	
176998	522	35.11	
177048	522	35.11	
177100	522	35.11	
177150	526	35.57	
177203	522	35.11	
177253	521	35	
177304	523	35.23	
177356	521	35	
177406	524	35.34	
177459	522	35.11	
177510	521	35	
177560	523	35.23	
177612	520	34.88	
177664	521	35	
177714	523	35.23	
177766	522	35.11	
177816	522	35.11	
177868	520	34.88	
177920	522	35.11	
177970	523	35.23	
178022	524	35.34	
178072	521	35	
178123	521	35	
178176	524	35.34	
178226	522	35.11	
178278	521	35	
178329	521	35	
178379	523	35.23	
178432	523	35.23	
178483	521	35	
178533	520	34.88	
178585	521	35	
178636	521	35	
178686	520	34.88	
178739	522	35.11	
178790	522	35.11	
178840	522	35.11	
178892	521	35	
178942	519	34.77	
178994	520	34.88	
179046	520	34.88	
179096	519	34.77	
179148	521	35	
179200	521	35	
179250	520	34.88	
179302	520	34.88	
179353	522	35.11	
179403	521	35	
179456	520	34.88	
179507	521	35	
179557	520	34.88	
179609	520	34.88	
179660	520	34.88	
179710	518	34.65	
179763	519	34.77	
179814	523	35.23	
179864	519	34.77	
179916	520	34.88	
179968	521	35	
180018	520	34.88	
180070	523	35.23	
180120	521	35	
180171	520	34.88	
180224	523	35.23	
180274	521	35	
180325	519	34.77	
180377	520	34.88	
180427	518	34.65	
180480	519	34.77	
180531	520	34.88	
180581	521	35	
180633	521	35	
180684	521	35	
180734	522	35.11	
180787	522	35.11	
180838	523	35.23	
180888	521	35	
180940	521	35	
180992	519	34.77	
181042	519	34.77	
181094	518	34.65	
181145	519	34.77	
181195	519	34.77	
181248	519	34.77	
181299	520	34.88	
181349	519	34.77	
181401	520	34.88	
181452	520	34.88	
181502	517	34.54	
181555	519	34.77	
181605	520	34.88	
181656	519	34.77	
181708	520	34.88	
181758	521	35	
181810	520	34.88	
181862	520	34.88	
181912	520	34.88	
181964	520	34.88	
182016	517	34.54	
182066	518	34.65	
182118	519	34.77	
182169	523	35.23	
182219	520	34.88	
182272	521	35	
182323	521	35	
182373	521	35	
182425	520	34.88	
182476	519	34.77	
182526	519	34.77	
182579	518	34.65	
182630	519	34.77	
182680	518	34.65	
182732	522	35.11	
182782	521	35	
182834	520	34.88	
182886	520	34.88	
182936	520	34.88	
182988	519	34.77	
183040	520	34.88	
183090	517	34.54	
183142	521	35	
183193	520	34.88	
183243	521	35	
183296	520	34.88	
183347	520	34.88	
183397	520	34.88	
183449	519	34.77	
183500	520	34.88	
183550	519	34.77	
183603	520	34.88	
183654	520	34.88	
183704	519	34.77	
183756	520	34.88	
183808	522	35.11	
183858	519	34.77	
183910	519	34.77	
183960	519	34.77	
184012	519	34.77	
184064	519	34.77	
184114	519	34.77	
184166	519	34.77	
184217	518	34.65	
184267	517	34.54	
184320	517	34.54	
184371	404	21.52	
184421	213	-0.47	
184473	211	-0.7	
184523	209	-0.93	
184576	211	-0.7	
184627	212	-0.59	
184678	213	-0.47	
184729	212	-0.59	
184779	212	-0.59	
184832	211	-0.7	
184882	213	-0.47	
184934	213	-0.47	
184985	212	-0.59	
185036	211	-0.7	
185088	212	-0.59	
185138	212	-0.59	
185190	211	-0.7	
185240	212	-0.59	
185291	211	-0.7	
185342	212	-0.59	
185394	211	-0.7	
185446	212	-0.59	
185497	213	-0.47	
185548	211	-0.7	
185600	213	-0.47	
185650	213	-0.47	
185701	211	-0.7	
185752	212	-0.59	
185803	212	-0.59	
185856	213	-0.47	
185907	212	-0.59	
185957	212	-0.59	
186008	212	-0.59	
186060	213	-0.47	
186112	212	-0.59	
186163	213	-0.47	
186214	213	-0.47	
186265	212	-0.59	
186315	212	-0.59	
186368	211	-0.7	
186419	212	-0.59	
186469	213	-0.47	
186520	212	-0.59	
186571	212	-0.59	
186624	211	-0.7	
186675	211	-0.7	
186726	212	-0.59	
186776	211	-0.7	
186828	212	-0.59	
186878	211	-0.7	
186931	212	-0.59	
186982	212	-0.59	
187033	214	-0.36	
187084	212	-0.59	
187134	213	-0.47	
187186	212	-0.59	
187237	212	-0.59	
187289	212	-0.59	
187339	213	-0.47	
187390	212	-0.59	
187442	211	-0.7	
187494	211	-0.7	
187545	211	-0.7	
187596	211	-0.7	
187646	212	-0.59	
187699	212	-0.59	
187749	212	-0.59	
187801	213	-0.47	
187852	213	-0.47	
187904	211	-0.7	
187954	211	-0.7	
188005	211	-0.7	
188057	212	-0.59	
188107	212	-0.59	
188160	212	-0.59	
188211	212	-0.59	
188261	212	-0.59	
188312	213	-0.47	
188364	212	-0.59	
