#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1746790,383.00,19.11,
1746841,381.00,18.88,
1746891,385.00,19.34,
1746942,386.00,19.45,
1746995,385.00,19.34,
1747045,383.00,19.11,
1747097,387.00,19.57,
1747147,384.00,19.22,
1747200,384.00,19.22,
1747251,387.00,19.57,
1747301,385.00,19.34,
1747353,383.00,19.11,
1747403,386.00,19.45,
1747456,384.00,19.22,
1747506,383.00,19.11,
1747558,382.00,18.99,
1747608,381.00,18.88,
1747659,383.00,19.11,
1747712,383.00,19.11,
1747763,384.00,19.22,
1747814,384.00,19.22,
1747864,385.00,19.34,
1747916,383.00,19.11,
1747966,385.00,19.34,
1748019,384.00,19.22,
1748070,384.00,19.22,
1748120,386.00,19.45,
1748171,385.00,19.34,
1748224,383.00,19.11,
1748275,381.00,18.88,
1748325,381.00,18.88,
1748377,384.00,19.22,
1748428,386.00,19.45,
1748478,384.00,19.22,
1748531,384.00,19.22,
1748581,383.00,19.11,
1748633,385.00,19.34,
1748684,383.00,19.11,
1748734,383.00,19.11,
1748787,385.00,19.34,
1748837,381.00,18.88,
1748889,384.00,19.22,
1748939,382.00,18.99,
1748992,382.00,18.99,
1749042,383.00,19.11,
1749093,384.00,19.22,
1749145,383.00,19.11,
1749195,385.00,19.34,
1749248,383.00,19.11,
1749299,385.00,19.34,
1749350,385.00,19.34,
1749400,382.00,18.99,
1749451,383.00,19.11,
1749504,384.00,19.22,
1749554,383.00,19.11,
1749606,385.00,19.34,
1749656,383.00,19.11,
1749708,386.00,19.45,
1749758,384.00,19.22,
1749811,384.00,19.22,
1749861,385.00,19.34,
1749913,385.00,19.34,
1749963,384.00,19.22,
1750014,382.00,18.99,
1750067,386.00,19.45,
1750118,385.00,19.34,
1750168,387.00,19.57,
1750219,385.00,19.34,
1750272,383.00,19.11,
1750323,384.00,19.22,
1750373,387.00,19.57,
1750425,387.00,19.57,
1750476,388.00,19.68,
1750528,387.00,19.57,
1750578,383.00,19.11,
1750630,384.00,19.22,
1750680,385.00,19.34,
1750731,386.00,19.45,
1750784,388.00,19.68,
1750835,387.00,19.57,
1750886,388.00,19.68,
1750937,388.00,19.68,
1750988,386.00,19.45,
1751040,387.00,19.57,
1751091,383.00,19.11,
1751141,385.00,19.34,
1751193,383.00,19.11,
1751243,387.00,19.57,
1751294,385.00,19.34,
