Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0244998653
2	1	0	0.0489997307
3	1	0	0.073499596
4	2	0	0.0979994613
5	2	0	0.122499327
6	2	0	0.146999192
7	2	0	0.171499057
8	2	0	0.195998923
9	2	0	0.220498788
10	3	0	0.244998653
11	3	0	0.269498519
12	3	0	0.293998384
13	3	0	0.318498249
14	3	0	0.342998115
15	3	0	0.36749798
16	4	0	0.391997845
17	4	0	0.416497711
18	4	0	0.440997576
19	4	0	0.465497441
20	4	0	0.489997307
21	4	0	0.514497172
22	5	0	0.538997037
23	5	0	0.563496902
24	5	0	0.587996768
25	5	0	0.612496633
26	5	0	0.636996498
27	5	0	0.661496364
28	6	0	0.685996229
29	6	0	0.710496094
30	6	0	0.73499596
31	6	0	0.759495825
32	6	0	0.78399569
33	6	0	0.808495556
34	7	0	0.832995421
35	7	0	0.857495286
36	7	0	0.881995152
37	7	0	0.906495017
38	7	0	0.930994882
39	8	0	0.955494748
40	8	0	0.979994613
41	8	0	1.00449448
42	8	0	1.02899434
43	8	0	1.05349421
44	9	0	1.07799407
45	9	0	1.10249394
46	9	0	1.1269938
47	9	0	1.15149367
48	9	0	1.17599354
49	10	0	1.2004934
