Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0243856452
2	1	0	0.0487712904
3	1	0	0.0731569355
4	2	0	0.0975425807
5	2	0	0.121928226
6	2	0	0.146313871
7	2	0	0.170699516
8	2	0	0.195085161
9	3	0	0.219470807
10	3	0	0.243856452
11	3	0	0.268242097
12	3	0	0.292627742
13	3	0	0.317013387
14	3	0	0.341399033
15	4	0	0.365784678
16	4	0	0.390170323
17	4	0	0.414555968
18	4	0	0.438941613
19	4	0	0.463327258
20	4	0	0.487712904
21	5	0	0.512098549
22	5	0	0.536484194
23	5	0	0.560869839
24	5	0	0.585255484
25	5	0	0.60964113
26	6	0	0.634026775
27	6	0	0.65841242
28	6	0	0.682798065
29	6	0	0.70718371
30	6	0	0.731569355
31	6	0	0.755955001
32	7	0	0.780340646
33	7	0	0.804726291
34	7	0	0.829111936
35	7	0	0.853497581
36	7	0	0.877883226
37	7	0	0.902268872
38	8	0	0.926654517
39	8	0	0.951040162
40	8	0	0.975425807
41	8	0	0.999811452
42	8	0	1.0241971
43	9	0	1.04858274
44	9	0	1.07296839
45	9	0	1.09735403
46	9	0	1.12173968
47	9	0	1.14612532
48	10	0	1.17051097
49	10	0	1.19489661
50	10	0	1.21928226
51	10	0	1.2436679
52	10	0	1.26805355
53	11	0	1.29243919
54	11	0	1.31682484
