Iteration	CPUTime	PhysTime	Travels
1	1	0	0.025
2	1	0	0.05
3	1	0	0.075
4	1	0	0.1
5	1	0	0.125
6	2	0	0.15
7	2	0	0.175
8	2	0	0.2
9	2	0	0.225
10	2	0	0.25
11	2	0	0.275
12	3	0	0.3
13	3	0	0.325
14	3	0	0.35
15	3	0	0.375
16	3	0	0.4
17	3	0	0.425
18	3	0	0.45
19	4	0	0.475
20	4	0	0.5
21	4	0	0.525
22	4	0	0.55
23	4	0	0.575
24	4	0	0.6
25	5	0	0.625
26	5	0	0.65
27	5	0	0.675
28	5	0	0.7
29	5	0	0.725
30	5	0	0.75
31	6	0	0.775
32	6	0	0.8
33	6	0	0.825
34	6	0	0.85
35	6	0	0.875
36	6	0	0.9
37	7	0	0.925
38	7	0	0.95
39	7	0	0.975
40	7	0	1
41	7	0	1.025
42	7	0	1.05
43	8	0	1.075
44	8	0	1.1
45	8	0	1.125
46	8	0	1.15
47	8	0	1.175
48	8	0	1.2
49	9	0	1.225
50	9	0	1.25
51	9	0	1.275
52	9	0	1.3
53	9	0	1.325
54	10	0	1.35
55	10	0	1.375
56	10	0	1.4
57	10	0	1.425
58	10	0	1.45
59	10	0	1.475
60	11	0	1.5
61	11	0	1.525
62	11	0	1.55
63	11	0	1.575
64	11	0	1.6
65	11	0	1.625
66	12	0	1.65
67	12	0	1.675
68	12	0	1.7
69	12	0	1.725
70	12	0	1.75
71	12	0	1.775
72	13	0	1.8
73	13	0	1.825
74	13	0	1.85
75	13	0	1.875
76	13	0	1.9
77	13	0	1.925
78	14	0	1.95
79	14	0	1.975
80	14	0	2
81	14	0	2.025
82	14	0	2.05
