        p           t         isp           m          cp         gam         rho          mw
   2.4132E+01  3.1184E+03  0.0000E+00  0.0000E+00  4.4829E+00  1.1456E+00  1.9889E+00  2.1370E+01
   1.3848E+01  2.9268E+03  1.1405E+03  0.0000E+00  3.8680E+00  1.1519E+00  1.2263E+00  2.1549E+01
   2.4821E+01  3.1204E+03  0.0000E+00  0.0000E+00  4.4620E+00  1.1459E+00  2.0448E+00  2.1374E+01
   1.4242E+01  2.9282E+03  1.1408E+03  0.0000E+00  3.8508E+00  1.1522E+00  1.2608E+00  2.1553E+01
   2.4132E+01  3.1288E+03  0.0000E+00  0.0000E+00  4.5805E+00  1.1442E+00  1.9886E+00  2.1437E+01
   1.3857E+01  2.9396E+03  1.1401E+03  0.0000E+00  3.9590E+00  1.1500E+00  1.2259E+00  2.1623E+01
   2.4821E+01  3.1309E+03  0.0000E+00  0.0000E+00  4.5590E+00  1.1445E+00  2.0444E+00  2.1442E+01
   1.4252E+01  2.9411E+03  1.1405E+03  0.0000E+00  3.9410E+00  1.1503E+00  1.2604E+00  2.1626E+01
   2.4132E+01  3.1388E+03  0.0000E+00  0.0000E+00  4.6794E+00  1.1429E+00  1.9884E+00  2.1504E+01
   1.3866E+01  2.9519E+03  1.1397E+03  0.0000E+00  4.0529E+00  1.1482E+00  1.2257E+00  2.1695E+01
   2.4821E+01  3.1410E+03  0.0000E+00  0.0000E+00  4.6573E+00  1.1431E+00  2.0442E+00  2.1508E+01
   1.4261E+01  2.9534E+03  1.1400E+03  0.0000E+00  4.0342E+00  1.1485E+00  1.2602E+00  2.1699E+01
   2.4132E+01  3.1484E+03  0.0000E+00  0.0000E+00  4.7793E+00  1.1416E+00  1.9884E+00  2.1570E+01
   1.3875E+01  2.9636E+03  1.1392E+03  0.0000E+00  4.1498E+00  1.1465E+00  1.2256E+00  2.1767E+01
   2.4821E+01  3.1506E+03  0.0000E+00  0.0000E+00  4.7566E+00  1.1418E+00  2.0442E+00  2.1574E+01
   1.4270E+01  2.9653E+03  1.1396E+03  0.0000E+00  4.1303E+00  1.1468E+00  1.2601E+00  2.1770E+01
